Rock_Type,F_ppm,Cl_ppm,Br_ppb,I_ppb
HP eclogite,205,24,67,25
HP eclogite,342,29,74,27
HP eclogite,100,15,73,28
HP eclogite,101,8,67,90
HP eclogite,157,11,53,87
HP eclogite,100,9,61,41
HP eclogite,105,9,62,59
HP eclogite,370,44,91,15
HP eclogite,475,44,90,29
HP eclogite,475,45,89,30
HP eclogite,467,44,90,31
HP eclogite,305,37,53,6
HP eclogite,223,31,54,6
HP eclogite,349,32,57,6
HP eclogite,186,23,35,14
HP eclogite,449,44,89,3
HP eclogite,438,45,85,3
HP eclogite,201,23,65,38
HP eclogite,200,23,63,42
HP eclogite,177,23,43,15
HP eclogite,154,24,41,15
HP eclogite,167,24,56,50
HP eclogite,98,19,45,33
HP eclogite,312,38,94,5
HP eclogite,185,43,123,55
HP eclogite,292,40,146,45
HP eclogite,306,74,188,31
UHP eclogite,380,56,31,18
UHP eclogite,245,49,31,70
UHP eclogite,127,7,29,6
UHP eclogite,172,56,7,70
UHP eclogite,139,54,31,73
UHP eclogite,182,35,5,45
UHP eclogite,240,37,6,43
UHP eclogite,171,51,5,53
UHP eclogite,204,55,28,63
UHP eclogite,211,53,29,52
UHP eclogite,181,54,30,73
UHP eclogite,134,55,28,60
UHP eclogite,290,31,29,59
UHP eclogite,400,36,29,52
UHP eclogite,242,18,29,48
UHP eclogite,141,61,31,64
UHP eclogite,100,42,7,10
UHP eclogite,135,60,6,62
UHP eclogite,150,44,6,53
UHP eclogite,200,16,31,61
UHP eclogite,220,40,6,49
UHP eclogite,130,80,31,64
UHP eclogite,110,70,29,66
UHP eclogite,360,50,10,24
UHP eclogite,215,27,33,60
UHP eclogite,47,35,8,71
UHP eclogite,141,47,31,83
UHP eclogite,97,38,30,65
UHP eclogite,101,30,31,65
UHP eclogite,241,37,7,17
UHP eclogite,123,48,10,81
UHP eclogite,215,48,10,81
UHP eclogite,129,27,7,4
UHP eclogite,195,42,6,3
UHP eclogite,181,43,10,81
UHP eclogite,148,36,10,81
UHP eclogite,132,32,12,64
UHP eclogite,123,38,14,81
UHP eclogite,148,13,5,4
UHP eclogite,32,0,33,18
UHP eclogite,37,40,35,61
UHP eclogite,230,57,8,60
UHP eclogite,176,51,10,81
UHP eclogite,150,18,8,1
UHP eclogite,169,8,28,0
UHP eclogite,90,23,6,13
UHP eclogite,203,9,4,0
UHP eclogite,242,21,8,1
UHP eclogite,444,23,5,0
UHP eclogite,195,3,6,1
UHP eclogite,280,27,33,72
UHP eclogite,63,6,34,78
UHP eclogite,29,8,44,74
UHP eclogite,10,9,40,65
UHP eclogite,21,7,33,64
UHP eclogite,31,9,44,64
