stage,sample_id,H2O_min_wt%,H2O_max_wt%,F_ppm,Cl_ppm,Br_ppb,I_ppb
HP eclogite,58-I,0.5,2,145,24,37,48
HP eclogite,BM11,0.5,2,238,34,102,9
HP eclogite,BM15B,0.5,2,357,31,174,41
HP eclogite,BP04,0.5,2,98,10,69,30
HP eclogite,CP03E,0.5,2,96,19,54,18
HP eclogite,BP01,0.5,2,200,36,77,48
HP eclogite,BM15C,0.5,2,159,36,95,49
HP eclogite,E0601,0.5,2,433,30,102,6
HP eclogite,E0605,0.5,2,363,29,99,9
HP eclogite,E0611,0.5,2,353,29,105,28
HP eclogite,E0613,0.5,2,393,28,101,7
HP eclogite,E0615,0.5,2,459,28,102,18
HP eclogite,E0616,0.5,2,406,29,101,7
HP eclogite,E0620,0.5,2,463,29,102,7
HP eclogite,E0622,0.5,2,389,30,93,6
HP eclogite,E0629,0.5,2,372,29,90,36
HP eclogite,E0635,0.5,2,384,28,102,7
HP eclogite,E0639,0.5,2,377,29,105,7
HP eclogite,E0642,0.5,2,412,31,102,7
HP eclogite,E0644,0.5,2,397,28,103,6
HP eclogite,E0647,0.5,2,416,28,102,6
HP eclogite,E0654,0.5,2,451,29,102,7
HP eclogite,E0657,0.5,2,480,28,97,6
HP eclogite,E0659,0.5,2,479,28,101,7
HP eclogite,E0666,0.5,2,353,29,87,33
HP eclogite,GMC0701,0.5,2,314,27,97,5
HP eclogite,GMC0702,0.5,2,383,21,132,16
HP eclogite,GMC0703,0.5,2,353,21,131,51
HP eclogite,GMC0704,0.5,2,344,23,164,32
HP eclogite,GMC0705,0.5,2,215,13,108,8
HP eclogite,GMC0706,0.5,2,191,15,108,13
HP eclogite,16TS113,0.5,2,254,25,112,3
HP eclogite,16TS114,0.5,2,319,35,121,28
HP eclogite,16TS119,0.5,2,192,41,45,42
HP eclogite,16TS121,0.5,2,364,39,126,3
HP eclogite,16TS122A,0.5,2,512,32,125,20
HP eclogite,16TS128,0.5,2,246,44,77,48
HP eclogite,16TS130,0.5,2,210,43,72,45
HP eclogite,16TS133,0.5,2,211,49,97,51
HP eclogite,16TS135,0.5,2,239,35,116,37
HP eclogite,16TS137,0.5,2,143,21,84,50
HP eclogite,16TS138,0.5,2,191,32,104,33
HP eclogite,16TS139,0.5,2,212,39,77,48
HP eclogite,M163-2,0.5,2,177,36,128,46
HP eclogite,M163-9,0.5,2,165,42,168,64
HP eclogite,M172-21,0.5,2,151,11,93,48
HP eclogite,M151-7,0.5,2,254,40,128,42
HP eclogite,M175-15,0.5,2,356,43,118,3
HP eclogite,CG3-6,0.5,2,273,43,118,75
HP eclogite,GC4-1,0.5,2,64,18,94,42
HP eclogite,Sep-54,0.5,2,255,22,83,7
HP eclogite,CG8-2/2,0.5,2,125,8,47,42
HP eclogite,4-1.3,0.5,2,235,40,114,41
HP eclogite,4-1.3,0.5,2,329,24,113,29
HP eclogite,4-1.4,0.5,2,309,27,68,8
HP eclogite,4-1.5,0.5,2,370,29,104,3
HP eclogite,4-2.4,0.5,2,374,34,140,8
HP eclogite,4-2.5,0.5,2,344,25,106,9
HP eclogite,4-3.1,0.5,2,271,43,98,3
HP eclogite,4-3.2,0.5,2,292,34,104,18
HP eclogite,4-3.3,0.5,2,306,24,89,37
HP eclogite,4-3.4,0.5,2,280,21,80,27
HP eclogite,4-3.5,0.5,2,268,40,116,28
HP eclogite,K949,0.5,2,280,54,129,54
HP eclogite,K950,0.5,2,286,51,130,52
HP eclogite,T848,0.5,2,183,30,127,54
HP eclogite,H505-26,0.5,2,202,30,68,33
HP eclogite,H76-10,0.5,2,330,21,104,45
HP eclogite,H711-1,0.5,2,469,20,104,3
